timestamp,peer,peer_asn,id,host,type,path,community,origin,announcements,withdrawals,raw
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a004b,rrc00.ripe.net,UPDATE,"[34927, 52025, 174, 4230, 28283, 19990]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['168.0.62.0/23']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a004c,rrc00.ripe.net,UPDATE,"[34927, 52025, 174, 13786, 262903, 262591, 262591, 262591, 262591, 262591, 262591]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['177.8.56.0/21']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a004d,rrc00.ripe.net,UPDATE,"[34927, 52025, 174, 394380]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['172.241.184.0/22']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a004e,rrc00.ripe.net,UPDATE,"[34927, 52025, 174, 265269, 266228, 52936]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['177.185.128.0/20']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a004f,rrc00.ripe.net,UPDATE,"[34927, 52025, 174, 17378, 396151]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['198.212.151.0/24']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0050,rrc00.ripe.net,UPDATE,"[34927, 12186, 32097, 17072, 7184]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['148.226.84.0/24']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0051,rrc00.ripe.net,UPDATE,"[34927, 52025, 1299, 6057, 61763, 61763, 61763, 263442]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['177.91.156.0/23']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0052,rrc00.ripe.net,UPDATE,"[34927, 52025, 1299, 7195, 28283, 263036, 263036]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['177.10.218.0/24']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0053,rrc00.ripe.net,UPDATE,"[34927, 52025, 1299, 394437, 20278]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['104.200.48.0/24']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0054,rrc00.ripe.net,UPDATE,"[34927, 52025, 852, 852, 397421]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['198.168.237.0/24']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0055,rrc00.ripe.net,UPDATE,"[34927, 52025, 1299, 13760, 400220]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['138.84.232.0/22']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0056,rrc00.ripe.net,UPDATE,"[34927, 52025, 1299, 36351]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['66.228.112.0/20', '209.85.0.0/17']}]",[],
1740633778.81,193.148.251.1,34927,193.148.251.1-019545dbaa7a0057,rrc00.ripe.net,UPDATE,"[34927, 52025, 174, 22645, 30674]","[[34927, 210]]",IGP,"[{'next_hop': '193.148.251.1', 'prefixes': ['129.62.128.0/19']}]",[],
